,id,query,place_id,house_number,road,neighbourhood,city,county,state,postcode
41,7766200013,"47.445,-122.34700000000001",233225221,853,Southwest 174th Street,NA,NA,King County,Washington,98166
42,7203220400,"47.6848,-122.016",181691111,9704,242nd Way Northeast,NA,NA,King County,Washington,98053
43,9270200160,"47.6413,-122.36399999999999",156554559,507,West Smith Street,NA,Seattle,King County,Washington,98119
44,1432701230,"47.4485,-122.175",231133412,12505,Southeast 172nd Street,NA,NA,King County,Washington,98058
45,8035350320,"47.7443,-121.977",237200647,NA,270th Place Northeast,NA,NA,King County,Washington,98019
46,8945200830,"47.3066,-122.37100000000001",232947321,2902,Southwest 330th Street,Twin Lakes,NA,King County,Washington,98023
47,4178300310,"47.6194,-122.15100000000001",117224255,NA,Northeast 8th Street,NA,Bellevue,King County,Washington,98007
48,9215400105,"47.6796,-122.301",155621940,7001,25th Avenue Northeast,Ravenna,Seattle,King County,Washington,98115
49,822039084,"47.4041,-122.45100000000001",205951821,NA,NA,NA,NA,King County,Washington,98070
50,5245600105,"47.4258,-122.322",231523183,19626,10th Avenue South,North Hill,NA,King County,Washington,98148
51,7231300125,"47.4934,-122.189",233325184,663,Blaine Avenue Northeast,Highlands Park,NA,King County,Washington,98056
52,7518505990,"47.6808,-122.384",154159268,7040,22nd Avenue Northwest,Loyal Heights,Seattle,King County,Washington,98117
53,3626039271,"47.6989,-122.369",156325328,9527,9th Avenue Northwest,Crown Hill,Seattle,King County,Washington,98117
54,4217401195,"47.6571,-122.281",157392525,3848,43rd Avenue Northeast,Laurelhurst,Seattle,King County,Washington,98105
55,9822700295,"47.6597,-122.29",154895839,3503,Northeast 43rd Street,NA,Seattle,King County,Washington,98105
56,9478500640,"47.3663,-122.11399999999999",232596347,17025,Southeast 263rd Street,NA,NA,King County,Washington,98042
57,2799800710,"47.3663,-122.12200000000001",231768390,16426,Southeast 263rd Street,Stonefield,NA,King County,Washington,98042
58,7922800400,"47.588,-122.116",296089545,16855,Southeast 26th Street,Sammamish Heights,Bellevue,King County,Washington,98008
59,8079040320,"47.5059,-122.149",231981963,1520,Ilwaco Avenue Northeast,Summerwind,NA,King County,Washington,98059
60,1516000055,"47.4336,-122.339",234225409,233,Southwest 189th Place,NA,NA,King County,Washington,98166
61,9558200045,"47.4366,-122.335",69037303,NA,1st Avenue South,NA,NA,King County,Washington,98148
62,5072410070,"47.4428,-122.344",233223908,17551,6th Place Southwest,NA,NA,King County,Washington,98166
63,9528102996,"47.6765,-122.32",277762346,NA,8th Avenue Northeast,NA,Seattle,King County,Washington,98015
64,1189001180,"47.6113,-122.29700000000001",157420579,942,27th Avenue,NA,Seattle,King County,Washington,98122
65,3253500160,"47.5747,-122.304",159212558,3214,22nd Avenue South,NA,Seattle,King County,Washington,98144
66,3394100030,"47.5815,-122.19200000000001",196441424,NA,111th Avenue Southeast,NA,Bellevue,King County,Washington,NA
67,3717000160,"47.3378,-122.257",231387469,6110,South 295th Court,NA,NA,King County,Washington,98001
68,1274500060,"47.3621,-122.11",231197476,17235,Southeast 267th Place,NA,NA,King County,Washington,98042
69,1802000060,"47.6303,-122.215",296006330,2178,94th Avenue Northeast,NA,NA,King County,Washington,98004
70,1525059190,"47.6525,-122.16",296164063,13511,Northeast 50th Street,NA,Bellevue,King County,Washington,98005
71,1049000060,"47.7362,-122.179",178984673,12206,Northeast 149th Place,NA,NA,King County,Washington,98034
72,8820901275,"47.7168,-122.287",157515752,12042,38th Avenue Northeast,NA,Seattle,King County,Washington,98125
73,5416510140,"47.3608,-122.036",218814184,22840,Southeast 269th Street,Rock Creek Meadows,NA,King County,Washington,98038
74,3444100400,"47.3511,-122.073",233773303,27710,201st Avenue Southeast,Winterwood Estates,NA,King County,Washington,98042
75,3276920270,"47.5822,-121.98700000000001",296152452,3058,263rd Place Southeast,Tibbetts Station,NA,King County,Washington,98075
76,4036801170,"47.6034,-122.125",296050577,16111,Southeast 7th Street,NA,Bellevue,King County,Washington,98008
77,2391600320,"47.5636,-122.39399999999999",158039695,4441,48th Avenue Southwest,NA,Seattle,King County,Washington,98116
78,6300000287,"47.7073,-122.34",155878475,10710,Interlake Avenue North,NA,Seattle,King County,Washington,98133
79,1531000030,"47.342,-122.025",201061708,NA,Black Bear Trail,NA,NA,King County,Washington,98010
80,5104520400,"47.3512,-122.008",220935254,27989,Maple Ridge Way Southeast,Maple Woods,NA,King County,Washington,98038
81,7437100340,"47.349,-122.031",218907095,28155,233rd Avenue Southeast,Rosewood Parke,NA,King County,Washington,98038
82,9418400240,"47.5474,-122.291",156999512,6018,32nd Avenue South,Holly Park,Seattle,King County,Washington,98118
83,1523059105,"47.4811,-122.149",232915816,14241,143rd Avenue Southeast,NA,NA,King County,Washington,98059
84,1133000671,"47.7264,-122.31",119929969,1715,Northeast 135th Street,Kenwood,Seattle,King County,Washington,98165
85,4232902595,"47.6337,-122.365",52414864,NA,6th Avenue West,NA,Seattle,King County,Washington,98119
86,2599001200,"47.2909,-122.189",233349829,2020,Fir Street Southeast,NA,NA,King County,Washington,98092
87,3342103156,"47.5228,-122.199",233624412,3419,Meadow Avenue North,Kennydale,NA,King County,Washington,98056
88,1332700270,"47.518,-122.194",232066998,2906,Kennewick Place Northeast,Kennydale,NA,King County,Washington,98056
89,3869900162,"47.5394,-122.387",157472276,7106,California Avenue Southwest,Morgan Junction,Seattle,King County,Washington,98136
90,2791500270,"47.2897,-122.37200000000001",231970986,3002,Southwest 349th Place,NA,NA,King County,Washington,98023
91,5036300431,"47.6506,-122.391",156452012,2650,West Bertona Street,Lawton Park,Seattle,King County,Washington,98199
92,4168000060,"47.321999999999996,-122.351",233352911,31218,12th Avenue Southwest,NA,NA,King County,Washington,98023
93,6021501535,"47.687,-122.38600000000001",155233256,8002,Jones Avenue Northwest,Loyal Heights,Seattle,King County,Washington,98117
94,1483300570,"47.5873,-122.249",296051510,2688,64th Avenue Southeast,McGilvra,NA,King County,Washington,98040
95,3422049190,"47.3576,-122.277",232384356,4419,South 272nd Street,Cambridge East,NA,King County,Washington,98032
96,1099611230,"47.3036,-122.37799999999999",233224693,33209,36th Avenue Southwest,NA,NA,King County,Washington,98023
97,722079104,"47.4109,-121.958",234307414,21315,290th Avenue Southeast,NA,NA,King County,Washington,98038
98,7338200240,"47.4838,-121.714",214872504,12711,470th Avenue Southeast,Riverpoint,NA,King County,Washington,98045
99,1952200240,"47.6415,-122.315",155045567,2509,Boyer Avenue East,Montlake,Seattle,King County,Washington,98102
100,5200100125,"47.6775,-122.37200000000001",157168735,6549,12th Avenue Northwest,Whittier Heights,Seattle,King County,Washington,98117
101,7214720075,"47.7731,-122.08",296055430,20088,194th Avenue Northeast,NA,NA,King County,Washington,98077
102,2450000295,"47.5814,-122.196",296025729,3190,108th Avenue Southeast,NA,Bellevue,King County,Washington,98004
103,6197800045,"47.4375,-122.184",231856413,18415,118th Avenue Southeast,NA,NA,King County,Washington,98058
104,1328310370,"47.4431,-122.133",229532268,15616,Southeast 177th Place,Candlewood,NA,King County,Washington,98058
105,546000875,"47.6878,-122.38",154456357,8026,18th Avenue Northwest,Whittier Heights,Seattle,King County,Washington,98117
106,3530510041,"47.3813,-122.322",230590170,24521,9th Place South,Zenith,NA,King County,Washington,98198
107,1853000400,"47.7304,-122.08200000000001",296021929,19166,Northeast 143rd Place,NA,NA,King County,Washington,98077
108,3134100116,"47.6417,-122.109",296159823,3598,173rd Court Northeast,NA,NA,King County,Washington,98052
109,9545230140,"47.5386,-122.053",296065576,1098,Northwest Honeywood Court,NA,NA,King County,Washington,98027
110,3362400511,"47.6823,-122.34899999999999",157107194,719,North 74th Street,NA,Seattle,King County,Washington,98103
111,2525310310,"47.3624,-122.031",221281224,26707,233rd Court Southeast,Fernwood Estates,NA,King County,Washington,98038
112,6126500060,"47.5474,-122.295",176653775,NA,Chief Sealth Trail,Holly Park,Seattle,King County,Washington,98108
113,8961960160,"47.3183,-122.25299999999999",231752290,1119,R Street Northwest,NA,NA,King County,Washington,98001
114,3626039325,"47.6981,-122.368",154604313,820,Northwest 95th Street,Crown Hill,Seattle,King County,Washington,98117
115,3362400431,"47.6824,-122.34700000000001",155503126,767,North 74th Street,NA,Seattle,King County,Washington,98103
116,4060000240,"47.5009,-122.24799999999999",159330744,11440,69th Place South,NA,Seattle,King County,Washington,98178
117,3454800060,"47.4965,-122.303",68558326,11834,Military Road South,NA,NA,King County,Washington,98168
118,1695900060,"47.586999999999996,-122.294",157428207,1733,30th Avenue South,NA,Seattle,King County,Washington,98144
119,7278700070,"47.7728,-122.38600000000001",11811804,NA,Northwest 197th Street,NA,NA,King County,Washington,98020
120,6675500070,"47.7288,-122.226",179243451,8621,Northeast 142nd Street,Simonds Estates,NA,King County,Washington,98034
121,3626039187,"47.6999,-122.36399999999999",156110239,612,Northwest 97th Street,Crown Hill,Seattle,King County,Washington,98117
122,3524049083,"47.5299,-122.266",159024917,7958,Seward Park Avenue South,Dunlap,Seattle,King County,Washington,98118
123,3275860240,"47.6897,-122.098",258756364,18322,Northeast 99th Way,NA,NA,King County,Washington,98052
124,4389200955,"47.6141,-122.212",296138639,9616,Northeast 1st Street,NA,Bellevue,King County,Washington,98004
125,4058801670,"47.5091,-122.244",230774647,7218,South Rustic Road,Lakeridge,Seattle,King County,Washington,98178
126,8732020310,"47.3129,-122.39",231826366,32219,44th Place Southwest,Twin Lakes,NA,King County,Washington,98023
127,2331300505,"47.6763,-122.352",156966783,512,North 65th Street,NA,Seattle,King County,Washington,98103
128,7853210060,"47.5319,-121.85",296121387,36702,Southeast Gravenstein Court,Eagle Nest,NA,King County,Washington,98065
129,3668000070,"47.2761,-122.152",231815804,5805,37th Street Southeast,NA,NA,King County,Washington,98092
130,9545240070,"47.5343,-122.054",96375091,NA,Jasmine Place Northwest,NA,NA,King County,Washington,NA
131,1243100136,"47.696999999999996,-122.072",206189308,NA,NA,NA,NA,King County,Washington,98052-2866
132,8929000270,"47.5517,-121.99799999999999",221325171,NA,Northeast Logan Street,NA,NA,King County,Washington,98029
133,2767602356,"47.6734,-122.38",205055427,1722,Northwest 61st Street,Sunset Hill,Seattle,King County,Washington,98107
134,921049315,"47.3257,-122.296",232635897,2833,South 308th Lane,NA,NA,King County,Washington,98003
135,3655000070,"47.3309,-122.29899999999999",231360426,30204,26th Place South,NA,NA,King County,Washington,98003
136,4027700812,"47.7689,-122.266",247582633,19311,59th Place Northeast,NA,NA,King County,Washington,98028
137,3992700335,"47.7135,-122.287",21722669,3825,Northeast 117th Street,NA,Seattle,King County,Washington,98125
138,2767603505,"47.6722,-122.381",154332323,1749,Northwest 60th Street,NA,Seattle,King County,Washington,98107
139,4232901525,"47.6338,-122.35799999999999",157224811,1604,1st Avenue West,NA,Seattle,King County,Washington,98119
140,1777500060,"47.5707,-122.12799999999999",296002405,15954,Southeast 42nd Place,NA,Bellevue,King County,Washington,98006
141,1432900240,"47.4563,-122.171",231842202,12759,Southeast 164th Street,NA,NA,King County,Washington,98058
142,6140100875,"47.7144,-122.351",154575592,11700,Evanston Avenue North,NA,Seattle,King County,Washington,98133
143,6071600370,"47.5495,-122.17399999999999",296011620,6026,125th Avenue Southeast,NA,Bellevue,King County,Washington,98006
144,1526069017,"47.7421,-122.02600000000001",98343854,NA,Northeast 156th Place,NA,NA,King County,Washington,98091
145,809001525,"47.6354,-122.353",156314197,1816,2nd Avenue North,NA,Seattle,King County,Washington,98109
146,3224079105,"47.5262,-121.943",296043100,8485,299th Place Southeast,NA,NA,King County,Washington,98027
147,8075400570,"47.3887,-122.286",226298732,3704,South 239th Street,Midway,NA,King County,Washington,98032
148,1994200024,"47.6873,-122.336",155591183,8012,Wallingford Avenue North,Licton Springs,Seattle,King County,Washington,98103
149,3362900810,"47.6838,-122.353",157721388,355,North 76th Street,NA,Seattle,King County,Washington,98103
150,1324300398,"47.655,-122.359",160474815,3952,2nd Avenue Northwest,NA,Seattle,King County,Washington,98107
151,537000445,"47.3255,-122.304",231230372,2223,South 308th Street,NA,NA,King County,Washington,98003
152,7855801670,"47.562,-122.162",296072483,4671,Somerset Drive Southeast,NA,Bellevue,King County,Washington,98006
153,7920100045,"47.678999999999995,-122.3",157150205,6849,26th Avenue Northeast,Wedgwood,Seattle,King County,Washington,98115
154,8960000030,"47.4479,-122.176",230766060,17229,125th Avenue Southeast,NA,NA,King County,Washington,98058
155,6388930390,"47.525,-122.17200000000001",231433544,12703,Southeast 86th Place,Olympus,NA,King County,Washington,98056
156,8731900200,"47.3135,-122.369",232286687,2719,Southwest 322nd Street,Twin Lakes,NA,King County,Washington,98023
157,8029200135,"47.2086,-121.99600000000001",233448708,1857,Lafromboise Street,NA,NA,King County,Washington,98022
158,1081200350,"47.4715,-122.118",230711203,14538,166th Place Southeast,NA,NA,King County,Washington,98059
159,84000105,"47.4877,-122.335",235243891,105,Southwest 129th Street,NA,NA,King County,Washington,98146
160,3756500060,"47.7171,-122.193",180536491,13024,111th Avenue Northeast,NA,NA,King County,Washington,98034
161,7215720160,"47.6012,-122.023",296063910,24009,Southeast 8th Street,NA,NA,King County,Washington,98075
162,3574800520,"47.7319,-122.22399999999999",180262555,14413,88th Avenue Northeast,NA,NA,King County,Washington,98034
163,2617300160,"47.4582,-122.023",232903992,16037,239th Avenue Southeast,Four Lakes,NA,King County,Washington,98027
164,2558660270,"47.7209,-122.16799999999999",179146055,13415,129th Place Northeast,NA,NA,King County,Washington,98034
165,2009000370,"47.408,-122.32700000000001",231722173,21619,Des Moines Creek Trail,Des Moines Creek,NA,King County,Washington,98198
166,1836980160,"47.565,-122.125",296090732,16098,Southeast 45th Court,NA,Bellevue,King County,Washington,98027
167,3261020370,"47.7028,-122.23100000000001",178516146,8236,Northeast 115th Way,NA,NA,King County,Washington,98034
168,1755700060,"47.7458,-122.331",296070973,2362,North 161st Street,Meridian Park,NA,King County,Washington,98133
169,4330600435,"47.4776,-122.337",235417081,14003,2nd Avenue Southwest,NA,NA,King County,Washington,98166
170,9542800700,"47.3026,-122.374",232306155,33406,33rd Place Southwest,NA,NA,King County,Washington,98023
171,1999700045,"47.7658,-122.339",296153214,18840,Densmore Avenue North,NA,NA,King County,Washington,98133
172,1762600070,"47.6477,-122.182",181377108,4114,118th Avenue Northeast,NA,NA,King County,Washington,98033
173,1687900520,"47.5619,-122.125",296095478,4652,161st Avenue Southeast,NA,Bellevue,King County,Washington,98006
174,7234600798,"47.6106,-122.31",157155819,904,17th Avenue,NA,Seattle,King County,Washington,98122
175,3881900445,"47.5868,-122.30799999999999",157638186,1806,19th Avenue South,NA,Seattle,King County,Washington,98144
176,2254502445,"47.6101,-122.307",157655336,1915,East Marion Street,NA,Seattle,King County,Washington,98122
177,5437810320,"47.1976,-121.999",231675725,811,Harmony Lane,NA,NA,King County,Washington,98022
178,9158100075,"47.7224,-122.35799999999999",157453061,12732,1st Avenue Northwest,NA,Seattle,King County,Washington,98177
179,3830630310,"47.3505,-122.179",231030897,12128,Southeast 280th Court,NA,NA,King County,Washington,98030
180,8123100045,"47.5384,-122.376",211134756,7000,35th Avenue Southwest,High Point,Seattle,King County,Washington,98126
181,3127200041,"47.7044,-122.2",179129566,11611,106th Avenue Northeast,NA,NA,King County,Washington,98034
182,6661200320,"47.3848,-122.039",220933143,22730,Southeast 242nd Street,Parkhaven Place,NA,King County,Washington,98038
183,11510310,"47.6993,-122.102",296145338,11299,178th Court Northeast,NA,NA,King County,Washington,98052
184,825059270,"47.6627,-122.18799999999999",181027723,6206,114th Avenue Northeast,NA,NA,King County,Washington,98033
185,8731951370,"47.3099,-122.37899999999999",231896733,32621,36th Avenue Southwest,NA,NA,King County,Washington,98023
186,1954440060,"47.62,-122.04299999999999",296138358,22354,Northeast 11th Place,NA,NA,King County,Washington,98074
187,2264500350,"47.65,-122.34",154074216,3526,Ashworth Avenue North,NA,Seattle,King County,Washington,98103
188,1115810060,"47.6647,-122.15299999999999",97681070,NA,140th Place Northeast,NA,NA,King County,Washington,NA
189,9477200200,"47.726000000000006,-122.191",180291470,14004,113th Avenue Northeast,NA,NA,King County,Washington,98034
190,1432600560,"47.4616,-122.184",231325987,15859,118th Avenue Southeast,NA,NA,King County,Washington,98058
191,2287000060,"47.5505,-122.219",296008155,9051,Southeast 58th Street,NA,NA,King County,Washington,98040
192,3663500060,"47.7606,-122.336",296147012,18008,Burke Avenue North,Meridian Park,NA,King County,Washington,98133
193,3996900125,"47.7481,-122.3",296031794,16400,27th Avenue Northeast,Briarcrest,NA,King County,Washington,98155
194,7796450200,"47.2779,-122.34700000000001",232310640,833,Southwest 361st Street,NA,NA,King County,Washington,98023
195,7549802535,"47.5511,-122.31200000000001",157415850,5802,16th Avenue South,Van Asselt,Seattle,King County,Washington,98108
196,3278600320,"47.5488,-122.37200000000001",159801167,5942,31st Avenue Southwest,NA,Seattle,King County,Washington,98126
197,2824079053,"47.5385,-121.911",231850335,NA,Preston Fall City Road Southeast,NA,NA,King County,Washington,98050
198,1222069094,"47.4058,-121.994",232033016,21820,260th Avenue Southeast,NA,NA,King County,Washington,98038
199,3542300060,"47.5093,-122.184",96660980,2625,Northeast 20th Street,Kennydale,NA,King County,Washington,98056
200,2222059065,"47.3777,-122.165",230516872,25002,132nd Avenue Southeast,Kensington Heights,NA,King County,Washington,98042
201,7551300060,"47.675,-122.39399999999999",154878205,2823,Northwest 64th Street,Sunset Hill,Seattle,King County,Washington,98107
202,100600550,"47.3025,-122.37",231037221,33400,28th Place Southwest,Twin Lakes,NA,King County,Washington,98023
203,3211100860,"47.4787,-122.15799999999999",231015067,4519,Southeast 4th Place,Heather Downs,NA,King County,Washington,98059
204,3456000310,"47.5378,-122.219",296140432,9061,Southeast 72nd Place,NA,NA,King County,Washington,98040
205,9526600140,"47.7073,-122.11399999999999",296057115,16820,Northeast 120th Street,NA,NA,King County,Washington,98052
206,7465900060,"47.5733,-122.381",160948786,3816,Southwest Hinds Street,NA,Seattle,King County,Washington,98126
207,1222000055,"47.4604,-122.339",229710377,15836,4th Avenue Southwest,Five Corners,NA,King County,Washington,98166
208,6300000550,"47.7067,-122.34299999999999",154928956,10556,Midvale Avenue North,NA,Seattle,King County,Washington,98133
209,2310030510,"47.354,-122.04700000000001",218670551,27611,221st Avenue Southeast,Elk Run,NA,King County,Washington,98038
210,1025049114,"47.6647,-122.28399999999999",173076547,4059,41st Avenue Northeast,Laurelhurst,Seattle,King County,Washington,98105
211,8677300550,"47.6143,-122.01700000000001",296043147,24295,Northeast 5th Place,NA,NA,King County,Washington,98074
212,4014400292,"47.3185,-122.275",233880665,31705,47th Court South,NA,NA,King County,Washington,98001
213,1102000196,"47.5458,-122.26799999999999",183301827,5149,South Graham Street,Brighton,Seattle,King County,Washington,98118
214,257000138,"47.4889,-122.29899999999999",235126792,2616,South 128th Street,NA,NA,King County,Washington,98168
215,46100204,"47.5673,-122.21",138252754,NA,Ferncroft Road,NA,NA,King County,Washington,98040
216,1909600046,"47.5133,-122.37899999999999",160060218,10010,37th Avenue Southwest,Arbor Heights,Seattle,King County,Washington,98146
217,1250202145,"47.5884,-122.291",157711926,1534,32nd Avenue South,NA,Seattle,King County,Washington,98144
218,7611200125,"47.7145,-122.367",156992432,817,Northwest 118th Street,NA,Seattle,King County,Washington,98177
219,5611500140,"47.5836,-122.02600000000001",175477031,23417,Southeast 28th Court,NA,NA,King County,Washington,98075
220,7138000260,"47.398,-122.29899999999999",174105234,2640,South 227th Place,Pacific Ridge,NA,King County,Washington,98198
221,626059335,"47.7663,-122.215",233407541,9311,Northeast 191st Street,NA,Bothell,King County,Washington,98011
222,1922059282,"47.3758,-122.21700000000001",228879555,1322,East Chicago Street,NA,NA,King County,Washington,98030
223,705700390,"47.3828,-122.023",221376957,23844,Southeast 245th Street,Belmont Woods,NA,King County,Washington,98038
224,7454001200,"47.5123,-122.37299999999999",158940884,10111,32nd Place Southwest,Arbor Heights,Seattle,King County,Washington,98146
225,8682281200,"47.7076,-122.01299999999999",296034431,11956,Big Leaf Way NE,NA,NA,King County,Washington,98053
226,7972000200,"47.2922,-122.37100000000001",230556455,34434,30th Avenue Southwest,NA,NA,King County,Washington,98023
227,722059070,"47.4075,-122.214",231174256,21648,94th Place South,NA,NA,King County,Washington,98031
228,7202340400,"47.6794,-122.03399999999999",170359681,8632,229th Drive Northeast,NA,NA,King County,Washington,98053
229,8096000060,"47.4497,-122.375",236810129,3316,Southwest 172nd Street,NA,NA,King County,Washington,98166
230,2424000060,"47.5218,-122.164",231704538,9007,132nd Place Southeast,Olympus,NA,King County,Washington,98059
231,9264902050,"47.3103,-122.339",230469057,229,Southwest 325th Place,Campus Landing Apartments,NA,King County,Washington,98023
232,943100260,"47.5687,-121.899",296160106,33097,Southeast 42nd Street,NA,NA,King County,Washington,98024
233,3677400445,"47.5575,-122.303",159137202,4921,24th Avenue South,Rainier Vista,Seattle,King County,Washington,98108
234,1762600320,"47.6489,-122.18299999999999",178555683,4143,118th Avenue Northeast,NA,NA,King County,Washington,98033
235,4058000060,"47.3459,-121.95",275127896,28425,296th Avenue Southeast,NA,NA,King County,Washington,98051
236,7228500560,"47.6136,-122.303",157140437,1419,23rd Avenue,NA,Seattle,King County,Washington,98122
237,326069104,"47.7641,-122.023",296027480,23726,Northeast 188th Street,NA,NA,King County,Washington,98077
238,5152100060,"47.3376,-122.324",232763395,806,South 295th Place,Marine Hills,NA,King County,Washington,98003
239,3584000310,"47.3173,-122.319",230168955,1035,South 317th Street,NA,NA,King County,Washington,98003
240,8150100045,"47.5308,-122.376",161378454,7936,35th Avenue Southwest,High Point,Seattle,King County,Washington,98126
241,1868901275,"47.6727,-122.29899999999999",271662197,6017,27th Avenue Northeast,Ravenna,Seattle,King County,Washington,98115
242,6131600075,"47.3221,-122.21600000000001",232477482,1032,16th Street Northeast,NA,NA,King County,Washington,98002
243,9468200125,"47.6779,-122.353",155554504,6701,Dayton Avenue North,NA,Seattle,King County,Washington,98103
244,8029510030,"47.3076,-122.395",232948265,32830,49th Avenue Southwest,Twin Lakes,NA,King County,Washington,98023
245,2025069065,"47.6338,-122.072",158134427,NA,East Lake Sammamish Trail,NA,NA,King County,Washington,98052-6088
246,7899800890,"47.5218,-122.35700000000001",219843214,9033,17th Avenue Southwest,Highland Park,Seattle,King County,Washington,98106
247,3021059276,"47.2785,-122.213",66056260,3307,M Place Southeast,NA,NA,King County,Washington,98002
248,3797001895,"47.6846,-122.345",156012476,949,North 77th Street,NA,Seattle,King County,Washington,98103
249,3832710960,"47.3656,-122.27799999999999",231541542,4424,South 263rd Street,NA,NA,King County,Washington,98032
250,1310430400,"47.4369,-122.111",231091080,18416,172nd Court Southeast,NA,NA,King County,Washington,98058
251,1422300030,"47.4616,-121.711",97996418,NA,472nd Place Southeast,NA,NA,King County,Washington,98045
252,1105000588,"47.5405,-122.27",158101827,6903,51st Avenue South,Brighton,Seattle,King County,Washington,98118
253,3830630060,"47.3507,-122.178",228939268,28015,122nd Place Southeast,NA,NA,King County,Washington,98030
254,5101404898,"47.6979,-122.32",156085511,800,Northeast 95th Street,NA,Seattle,King County,Washington,98115
255,7972601890,"47.5278,-122.345",157434719,8414,8th Avenue Southwest,Highland Park,Seattle,King County,Washington,98106
256,5127001620,"47.4756,-122.147",231505457,14506,Southeast 142nd Street,NA,NA,King County,Washington,98059
