,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,lat_long,place_id,house_number,road,neighbourhood,city,county,state,postcode,dist_fromlake,avg_price_by_zipcode,median_price_by_zipcode,sale_price,profit,day,month,quarter,year,year_week,median_price_quarter
111,2525310310,2014-09-16,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,"47.3624,-122.031",221281224,26707,233rd Court Southeast,Fernwood Estates,,King County,Washington,98038,35.39599446219961,367144.8532423208,342250.0,354250.0,81750.0,16,9,2014Q3,2014,2014-37,450000.0
116,4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.24799999999999,1190,6780,"47.5009,-122.24799999999999",159330744,11440,69th Place South,,Seattle,King County,Washington,98178,15.588285704492556,310622.6434108527,279000.0,267052.5,61627.5,23,6,2014Q2,2014,2014-25,465000.0
129,3668000070,2015-01-05,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,"47.2761,-122.152",231815804,5805,37th Street Southeast,,,King County,Washington,98092,41.35573456203087,334921.0626780627,309780.0,275600.0,63600.0,5,1,2015Q1,2015,2015-01,440000.0
134,921049315,2014-08-13,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,"47.3257,-122.296",232635897,2833,South 308th Lane,,,King County,Washington,98003,35.1554358663957,294225.39130434784,266500.0,258700.0,59700.0,13,8,2014Q3,2014,2014-32,450000.0
140,1777500060,2014-07-08,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.12799999999999,2820,9375,"47.5707,-122.12799999999999",296002405,15954,Southeast 42nd Place,,Bellevue,King County,Washington,98006,12.558917580540303,856565.3040816326,760000.0,686010.0,158310.0,8,7,2014Q3,2014,2014-27,450000.0
141,1432900240,2015-05-08,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,"47.4563,-122.171",231842202,12759,Southeast 164th Street,,,King County,Washington,98058,21.566954884906174,354019.7982261641,335000.0,266500.0,61500.0,8,5,2015Q2,2015,2015-18,475000.0
143,6071600370,2015-02-27,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.17399999999999,2230,8824,"47.5495,-122.17399999999999",296011620,6026,125th Avenue Southeast,,Bellevue,King County,Washington,98006,12.004897901879284,856565.3040816326,760000.0,650000.0,150000.0,27,2,2015Q1,2015,2015-08,440000.0
154,8960000030,2014-07-28,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,"47.4479,-122.176",230766060,17229,125th Avenue Southeast,,,King County,Washington,98058,22.350028588738063,354019.7982261641,335000.0,279500.0,64500.0,28,7,2014Q3,2014,2014-30,450000.0
158,1081200350,2014-10-03,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,"47.4715,-122.118",230711203,14538,166th Place Southeast,,,King County,Washington,98059,21.612334717191885,494370.18279569893,435000.0,416000.0,96000.0,3,10,2014Q4,2014,2014-39,439000.0
163,2617300160,2014-08-12,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590,"47.4582,-122.023",232903992,16037,239th Avenue Southeast,Four Lakes,,King County,Washington,98027,26.963296954181352,617141.4209245743,571000.0,546000.0,126000.0,12,8,2014Q3,2014,2014-32,450000.0
168,1755700060,2014-06-11,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,"47.7458,-122.331",296070973,2362,North 161st Street,Meridian Park,,King County,Washington,98133,12.84289394224908,385534.63636363635,372750.0,482950.0,111450.0,11,6,2014Q2,2014,2014-23,465000.0
173,1687900520,2014-09-29,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,"47.5619,-122.125",296095478,4652,161st Avenue Southeast,,Bellevue,King County,Washington,98006,13.358534796188422,856565.3040816326,760000.0,874900.0,201900.0,29,9,2014Q3,2014,2014-39,450000.0
177,5437810320,2014-11-17,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941,"47.1976,-121.999",231675725,811,Harmony Lane,,,King County,Washington,98022,53.037572017939006,315709.30341880344,279500.0,350935.0,80985.0,17,11,2014Q4,2014,2014-46,439000.0
191,2287000060,2014-09-12,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,"47.5505,-122.219",296008155,9051,Southeast 58th Street,,,King County,Washington,98040,10.493554531617441,1194230.0212765958,993750.0,1038700.0,239700.0,12,9,2014Q3,2014,2014-36,450000.0
199,3542300060,2015-03-11,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514,"47.5093,-122.184",96660980,2625,Northeast 20th Street,Kennydale,,King County,Washington,98056,15.682531035126342,421449.4133663366,380000.0,273000.0,63000.0,11,3,2015Q1,2015,2015-10,440000.0
202,100600550,2014-08-04,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,"47.3025,-122.37",231037221,33400,28th Place Southwest,Twin Lakes,,King County,Washington,98023,38.536322845229535,287419.9512195122,268750.0,294450.0,67950.0,4,8,2014Q3,2014,2014-31,450000.0
203,3211100860,2015-03-03,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,0,98059,47.4787,-122.15799999999999,1400,8040,"47.4787,-122.15799999999999",231015067,4519,Southeast 4th Place,Heather Downs,,King County,Washington,98059,19.568974471954398,494370.18279569893,435000.0,356525.0,82275.0,3,3,2015Q1,2015,2015-09,440000.0
204,3456000310,2014-08-04,840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,1966,0,98040,47.5378,-122.219,2770,10744,"47.5378,-122.219",296140432,9061,Southeast 72nd Place,,,King County,Washington,98040,11.853114348355522,1194230.0212765958,993750.0,1092000.0,252000.0,4,8,2014Q3,2014,2014-31,450000.0
218,7611200125,2014-10-23,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,1947,0,98177,47.7145,-122.367,2120,12040,"47.7145,-122.367",156992432,817,Northwest 118th Street,,Seattle,King County,Washington,98177,11.49280057420317,676800.2952755905,557000.0,607100.0,140100.0,23,10,2014Q4,2014,2014-42,439000.0
226,7972000200,2014-05-29,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1978,0,98023,47.2922,-122.37100000000001,1510,9753,"47.2922,-122.37100000000001",230556455,34434,30th Avenue Southwest,,,King County,Washington,98023,39.671383784787054,287419.9512195122,268750.0,344435.0,79485.0,29,5,2014Q2,2014,2014-21,465000.0
227,722059070,2015-01-15,235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1961,0,98031,47.4075,-122.214,1960,13068,"47.4075,-122.214",231174256,21648,94th Place South,,,King County,Washington,98031,26.172523877799012,300325.0184501845,288000.0,305500.0,70500.0,15,1,2015Q1,2015,2015-02,440000.0
239,3584000310,2014-12-08,225000.0,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,1968,0,98003,47.3173,-122.319,1190,8640,"47.3173,-122.319",230168955,1035,South 317th Street,,,King County,Washington,98003,36.2599464102621,294225.39130434784,266500.0,292500.0,67500.0,8,12,2014Q4,2014,2014-49,439000.0
242,6131600075,2015-04-27,225000.0,3,1.0,1300,8316,1.0,0,0,4,6,1300,0,1954,0,98002,47.3221,-122.21600000000001,1260,8316,"47.3221,-122.21600000000001",232477482,1032,16th Street Northeast,,,King County,Washington,98002,35.59579533112829,234083.8730964467,235000.0,292500.0,67500.0,27,4,2015Q2,2015,2015-17,475000.0
243,9468200125,2014-08-26,480000.0,2,1.0,1030,3060,1.0,0,2,4,7,790,240,1918,0,98103,47.6779,-122.353,1390,3060,"47.6779,-122.353",155554504,6701,Dayton Avenue North,,Seattle,King County,Washington,98103,8.138863764780261,584334.4991652755,550000.0,624000.0,144000.0,26,8,2014Q3,2014,2014-34,450000.0
248,3797001895,2015-04-22,481000.0,3,1.75,1560,3000,1.0,0,0,4,6,770,790,1918,0,98103,47.6846,-122.345,1390,3000,"47.6846,-122.345",156012476,949,North 77th Street,,Seattle,King County,Washington,98103,8.054143802139205,584334.4991652755,550000.0,625300.0,144300.0,22,4,2015Q2,2015,2015-16,475000.0
256,5127001620,2015-02-11,315000.0,3,1.75,1580,11455,1.0,0,0,4,7,1200,380,1974,0,98059,47.4756,-122.147,1550,10650,"47.4756,-122.147",231505457,14506,Southeast 142nd Street,,,King County,Washington,98059,20.216917573485592,494370.18279569893,435000.0,409500.0,94500.0,11,2,2015Q1,2015,2015-06,440000.0
260,8644000060,2014-10-24,237000.0,3,1.75,1270,8470,1.0,0,0,4,7,1270,0,1960,0,98198,47.4207,-122.29,1600,8470,"47.4207,-122.29",233118300,3410,South 203rd Street,,,King County,Washington,98198,24.59187326804145,302925.9527272727,265000.0,308100.0,71100.0,24,10,2014Q4,2014,2014-42,439000.0
263,2123039032,2014-10-27,369900.0,1,0.75,760,10079,1.0,1,4,5,5,760,0,1936,0,98070,47.4683,-122.43799999999999,1230,14267,"47.4683,-122.43799999999999",295998139,8232,Southwest Hawthorne Lane,,,King County,Washington,98070,23.41386959688508,490763.7586206897,466250.0,480870.0,110970.0,27,10,2014Q4,2014,2014-43,439000.0
271,1745100140,2014-10-17,210000.0,3,1.0,1700,11390,1.0,0,0,4,7,1700,0,1967,0,98003,47.3271,-122.323,1350,8164,"47.3271,-122.323",231527225,30621,8th Place South,Puget Sound Hills,,King County,Washington,98003,35.21845307644594,294225.39130434784,266500.0,273000.0,63000.0,17,10,2014Q4,2014,2014-41,439000.0
283,5634500392,2015-04-10,330000.0,3,3.0,2420,13959,1.0,0,0,4,8,1740,680,1988,0,98028,47.7486,-122.23,2570,13300,"47.7486,-122.23",249067285,8227,Northeast 166th Street,,,King County,Washington,98028,12.176015618173883,461823.93617021275,442500.0,429000.0,99000.0,10,4,2015Q2,2015,2015-14,475000.0
288,2200500350,2014-08-12,500000.0,2,1.0,1640,14100,1.0,0,0,4,7,1140,500,1954,0,98006,47.5712,-122.14299999999999,1520,13527,"47.5712,-122.14299999999999",296139166,14580,Southeast Newport Way,,Bellevue,King County,Washington,98006,11.661666684667404,856565.3040816326,760000.0,650000.0,150000.0,12,8,2014Q3,2014,2014-32,450000.0
289,6113400046,2014-07-23,389999.0,4,2.5,1890,15770,2.0,0,0,4,7,1890,0,1968,0,98166,47.4281,-122.34299999999999,2410,15256,"47.4281,-122.34299999999999",232048751,19412,Normandy Park Drive Southwest,,,King County,Washington,98166,24.48155044355811,465515.548,390000.0,506998.7,116999.70000000001,23,7,2014Q3,2014,2014-29,450000.0
303,4330600350,2015-01-15,315000.0,3,2.25,2200,8750,1.0,0,0,4,7,1120,1080,1964,0,98166,47.476000000000006,-122.337,1460,10139,"47.476000000000006,-122.337",238675896,209,Southwest 142nd Street,Highline,,King County,Washington,98166,19.24007640727218,465515.548,390000.0,409500.0,94500.0,15,1,2015Q1,2015,2015-02,440000.0
304,5016001535,2015-02-17,725000.0,3,1.75,1920,3300,1.0,0,0,4,8,960,960,1913,0,98112,47.6239,-122.29799999999999,1740,4000,"47.6239,-122.29799999999999",159042982,443,27th Avenue East,,Seattle,King County,Washington,98112,3.463709735186349,1095799.712686567,912500.0,942500.0,217500.0,17,2,2015Q1,2015,2015-07,440000.0
305,7280300196,2015-04-03,550000.0,4,2.75,1800,7750,1.0,0,0,4,8,1400,400,1965,0,98177,47.7776,-122.384,1800,8275,"47.7776,-122.384",296067150,2110,Northwest 204th Street,,,King County,Washington,98177,17.839108796985606,676800.2952755905,557000.0,715000.0,165000.0,3,4,2015Q2,2015,2015-13,475000.0
307,7171200445,2015-02-28,550700.0,2,1.0,1010,5000,1.5,0,0,4,6,1010,0,1908,0,98105,47.6692,-122.29700000000001,1460,5000,"47.6692,-122.29700000000001",156758886,5520,28th Avenue Northeast,Ravenna,Seattle,King County,Washington,98105,4.23190707606293,862825.2314410481,675000.0,715910.0,165210.0,28,2,2015Q1,2015,2015-08,440000.0
316,9521101455,2014-07-23,548000.0,2,1.0,1470,3864,1.0,0,0,4,7,1170,300,1916,0,98103,47.6638,-122.345,1570,3864,"47.6638,-122.345",155728801,1022,North 48th Street,,Seattle,King County,Washington,98103,6.91005386768094,584334.4991652755,550000.0,712400.0,164400.0,23,7,2014Q3,2014,2014-29,450000.0
331,191100045,2014-07-03,940000.0,4,2.0,2490,9525,2.0,0,0,5,9,2490,0,1968,0,98040,47.5639,-122.21700000000001,2770,9525,"47.5639,-122.21700000000001",296096073,9140,Southeast 46th Street,,,King County,Washington,98040,9.1274478525598,1194230.0212765958,993750.0,1222000.0,282000.0,3,7,2014Q3,2014,2014-26,450000.0
337,3126069068,2015-04-24,485000.0,4,1.75,2560,43995,2.0,0,0,4,7,2560,0,1962,0,98052,47.6945,-122.09299999999999,2560,14764,"47.6945,-122.09299999999999",296056454,10612,Avondale Road Northeast,,,King County,Washington,98052,13.8031080874828,645894.7565674256,615000.0,630500.0,145500.0,24,4,2015Q2,2015,2015-16,475000.0
340,7004200060,2014-10-17,309600.0,4,1.75,1275,20000,1.0,0,0,4,6,1275,0,1991,0,98070,47.3796,-122.49,1660,20000,"47.3796,-122.49",295998098,12198,Southwest 250th Way,,,King County,Washington,98070,33.82991731507262,490763.7586206897,466250.0,402480.0,92880.0,17,10,2014Q4,2014,2014-41,439000.0
343,4048400070,2014-12-05,320000.0,2,1.0,1070,32633,1.0,0,0,4,6,1070,0,1930,0,98059,47.4716,-122.07799999999999,1360,32156,"47.4716,-122.07799999999999",233690525,14602,196th Avenue Southeast,,,King County,Washington,98059,23.223203278261757,494370.18279569893,435000.0,416000.0,96000.0,5,12,2014Q4,2014,2014-48,439000.0
344,808000070,2014-10-21,206600.0,3,2.0,1390,13464,1.0,0,0,4,7,1390,0,1987,0,98030,47.3581,-122.17299999999999,1720,12080,"47.3581,-122.17299999999999",231079041,12613,Southeast 270th Street,Seven Oaks East,,King County,Washington,98030,32.104701592253626,296715.90118577075,282510.0,268580.0,61980.0,21,10,2014Q4,2014,2014-42,439000.0
348,616000140,2015-01-26,315000.0,3,1.0,1900,14400,1.0,0,0,4,7,1300,600,1954,0,98166,47.4147,-122.337,1940,14400,"47.4147,-122.337",232847795,20853,2nd Place Southwest,,,King County,Washington,98166,25.81903686343722,465515.548,390000.0,409500.0,94500.0,26,1,2015Q1,2015,2015-04,440000.0
349,3363900111,2014-12-03,437500.0,2,1.0,990,3120,1.0,0,2,5,7,790,200,1907,0,98103,47.68,-122.353,1930,3120,"47.68,-122.353",156191049,7011,Dayton Avenue North,,Seattle,King County,Washington,98103,8.259294678593745,584334.4991652755,550000.0,568750.0,131250.0,3,12,2014Q4,2014,2014-48,439000.0
350,9262800171,2015-03-24,252000.0,4,1.5,1550,19800,1.0,0,0,4,7,1050,500,1969,0,98001,47.3117,-122.27,1640,22654,"47.3117,-122.27",230584497,5124,South 324th Street,,,King County,Washington,98001,36.61244653690466,281383.6536312849,260000.0,327600.0,75600.0,24,3,2015Q1,2015,2015-12,440000.0
353,2201500030,2014-10-06,420000.0,4,1.0,1750,9600,1.5,0,0,4,7,1750,0,1954,0,98006,47.5759,-122.137,1750,10530,"47.5759,-122.137",296050564,15344,Southeast 38th Place,,Bellevue,King County,Washington,98006,11.670654908301458,856565.3040816326,760000.0,546000.0,126000.0,6,10,2014Q4,2014,2014-40,439000.0
357,1072010350,2014-08-28,380000.0,5,2.5,2760,11340,2.0,0,0,4,9,2760,0,1978,0,98059,47.4769,-122.141,2470,11340,"47.4769,-122.141",233547592,14024,149th Place Southeast,Willowbrook,,King County,Washington,98059,20.278479396292415,494370.18279569893,435000.0,494000.0,114000.0,28,8,2014Q3,2014,2014-34,450000.0
367,2231500030,2014-10-01,315000.0,4,2.25,2180,10754,1.0,0,0,5,7,1100,1080,1954,0,98133,47.7711,-122.34100000000001,1810,6929,"47.7711,-122.34100000000001",296131817,1301,North 196th Street,,,King County,Washington,98133,15.71860815041936,385534.63636363635,372750.0,409500.0,94500.0,1,10,2014Q4,2014,2014-39,439000.0
380,8651600160,2014-11-11,799000.0,4,2.25,2510,11585,2.0,0,0,4,8,2510,0,1969,0,98040,47.5483,-122.226,2450,9691,"47.5483,-122.226",296162511,6192,85th Place Southeast,,,King County,Washington,98040,10.592402219347662,1194230.0212765958,993750.0,1038700.0,239700.0,11,11,2014Q4,2014,2014-45,439000.0
381,9517200030,2014-06-25,365500.0,3,2.0,1410,9600,1.0,0,0,4,7,1410,0,1983,0,98072,47.7591,-122.146,1410,9600,"47.7591,-122.146",296027460,17946,145th Place Northeast,,,King County,Washington,98072,15.640423807973741,569851.6948529412,514500.0,475150.0,109650.0,25,6,2014Q2,2014,2014-25,465000.0
386,8857320070,2014-09-17,490000.0,3,2.75,1980,3128,2.0,0,0,4,9,1980,0,1979,0,98008,47.6109,-122.11399999999999,1950,2856,"47.6109,-122.11399999999999",295999709,17071,Northeast 2nd Place,,Bellevue,King County,Washington,98008,11.384443677694094,645507.3780918728,545000.0,637000.0,147000.0,17,9,2014Q3,2014,2014-37,450000.0
390,3649100320,2015-04-30,330000.0,2,1.0,1220,10000,1.0,0,0,5,7,1220,0,1950,0,98028,47.7405,-122.241,2000,9600,"47.7405,-122.241",250470708,15415,75th Avenue Northeast,,,King County,Washington,98028,11.160829336485984,461823.93617021275,442500.0,429000.0,99000.0,30,4,2015Q2,2015,2015-17,475000.0
391,7375300160,2015-03-09,530000.0,5,2.25,2720,8800,1.0,0,0,4,7,1500,1220,1958,0,98008,47.5976,-122.118,2110,8800,"47.5976,-122.118",296139395,16646,Southeast 15th Street,,Bellevue,King County,Washington,98008,11.629534164224443,645507.3780918728,545000.0,689000.0,159000.0,9,3,2015Q1,2015,2015-10,440000.0
394,2473251090,2014-06-19,269900.0,4,1.75,1530,8750,1.5,0,0,4,7,1530,0,1968,0,98058,47.4556,-122.15700000000001,1390,8750,"47.4556,-122.15700000000001",230198869,13805,Southeast Fairwood Boulevard,Fairwood West,,King County,Washington,98058,21.985414658729244,354019.7982261641,335000.0,350870.0,80970.0,19,6,2014Q2,2014,2014-24,465000.0
397,6021501685,2015-04-22,352000.0,2,1.0,940,5000,1.0,0,0,4,7,940,0,1937,0,98117,47.6879,-122.385,1560,4500,"47.6879,-122.385",155165268,8034,23rd Avenue Northwest,Loyal Heights,Seattle,King County,Washington,98117,10.770918736123523,575643.4105839416,542500.0,457600.0,105600.0,22,4,2015Q2,2015,2015-16,475000.0
407,1774220160,2014-11-04,632925.0,3,2.5,2990,32239,2.0,0,0,4,8,2990,0,1978,0,98077,47.7718,-122.095,2990,36497,"47.7718,-122.095",296003057,18261,Northeast 200th Street,,,King County,Washington,98077,19.051667470386796,682326.1530612245,652475.0,822802.5,189877.5,4,11,2014Q4,2014,2014-44,439000.0
410,3426059070,2014-09-09,570000.0,3,1.75,2910,37461,1.0,0,0,4,7,1530,1380,1967,0,98052,47.7015,-122.164,2520,18295,"47.7015,-122.164",296032358,13221,Northeast 112th Place,,,King County,Washington,98052,9.813140682529095,645894.7565674256,615000.0,741000.0,171000.0,9,9,2014Q3,2014,2014-36,450000.0
